iter	Passed	Remaining
0	7	3834
1	16	4016
2	23	3907
3	31	3906
4	38	3854
5	47	3909
6	54	3869
7	62	3874
8	70	3840
9	78	3847
10	89	3958
11	97	3957
12	105	3947
13	113	3953
14	121	3935
15	130	3954
16	138	3926
17	146	3932
18	154	3909
19	163	3924
20	171	3905
21	179	3903
22	187	3887
23	195	3874
24	203	3861
25	211	3862
26	219	3853
27	227	3841
28	235	3821
29	242	3804
30	250	3788
31	258	3785
32	266	3769
33	274	3755
34	281	3737
35	289	3730
36	297	3718
37	304	3704
38	312	3691
39	319	3677
40	327	3671
41	335	3658
42	343	3647
43	350	3631
44	358	3624
45	366	3615
46	374	3611
47	381	3596
48	390	3595
49	398	3584
50	406	3578
51	414	3568
52	422	3560
53	429	3550
54	438	3544
55	445	3534
56	454	3530
57	461	3519
58	470	3520
59	478	3506
60	486	3503
61	494	3491
62	503	3489
63	511	3483
64	519	3479
65	527	3468
66	535	3459
67	543	3450
68	551	3442
69	558	3432
70	566	3422
71	574	3413
72	582	3407
73	590	3396
74	597	3387
75	606	3381
76	614	3375
77	623	3372
78	631	3364
79	639	3356
80	647	3348
81	655	3339
82	663	3333
83	671	3325
84	679	3318
85	687	3308
86	695	3302
87	703	3291
88	710	3282
89	719	3277
90	727	3271
91	735	3263
92	744	3257
93	751	3246
94	759	3239
95	767	3230
96	775	3220
97	783	3213
98	791	3207
99	799	3197
100	808	3192
101	815	3182
102	823	3173
103	830	3163
104	838	3152
105	846	3145
106	853	3134
107	861	3126
108	868	3116
109	876	3108
110	884	3098
111	892	3092
112	900	3082
113	909	3079
114	917	3070
115	925	3063
116	933	3055
117	941	3047
118	948	3037
119	957	3032
120	965	3023
121	973	3016
122	981	3007
123	990	3004
124	998	2995
125	1007	2991
126	1015	2981
127	1025	2981
128	1033	2972
129	1041	2964
130	1048	2954
131	1057	2947
132	1064	2937
133	1072	2930
134	1080	2920
135	1089	2915
136	1096	2906
137	1105	2901
138	1113	2892
139	1122	2886
140	1130	2878
141	1139	2873
142	1147	2864
143	1155	2856
144	1163	2847
145	1171	2839
146	1178	2830
147	1187	2823
148	1194	2814
149	1204	2809
150	1211	2799
151	1219	2792
152	1226	2782
153	1234	2774
154	1242	2764
155	1249	2756
156	1257	2746
157	1265	2739
158	1272	2729
159	1280	2721
160	1288	2712
161	1296	2704
162	1303	2695
163	1310	2685
164	1326	2692
165	1338	2692
166	1346	2684
167	1354	2676
168	1362	2669
169	1370	2660
170	1377	2650
171	1385	2641
172	1393	2633
173	1400	2624
174	1408	2615
175	1416	2608
176	1424	2598
177	1432	2592
178	1440	2583
179	1448	2575
180	1456	2566
181	1464	2558
182	1471	2548
183	1479	2540
184	1486	2531
185	1494	2523
186	1502	2514
187	1510	2507
188	1518	2499
189	1527	2492
190	1535	2483
191	1543	2476
192	1551	2468
193	1559	2460
194	1567	2451
195	1575	2443
196	1582	2434
197	1591	2427
198	1598	2418
199	1607	2410
200	1614	2401
201	1623	2394
202	1630	2386
203	1639	2378
204	1646	2369
205	1655	2362
206	1662	2353
207	1670	2345
208	1678	2336
209	1686	2329
210	1694	2321
211	1703	2313
212	1710	2304
213	1718	2296
214	1726	2288
215	1734	2280
216	1742	2272
217	1751	2265
218	1758	2256
219	1766	2248
220	1774	2240
221	1782	2232
222	1790	2223
223	1798	2215
224	1805	2207
225	1813	2198
226	1821	2190
227	1828	2181
228	1837	2174
229	1844	2165
230	1853	2158
231	1861	2150
232	1871	2144
233	1879	2136
234	1888	2129
235	1896	2121
236	1904	2113
237	1912	2105
238	1919	2096
239	1928	2088
240	1935	2080
241	1943	2072
242	1951	2063
243	1958	2055
244	1967	2047
245	1975	2039
246	1983	2031
247	1991	2023
248	1999	2015
249	2006	2006
250	2014	1998
251	2022	1990
252	2031	1982
253	2038	1974
254	2046	1966
255	2054	1957
256	2062	1949
257	2069	1940
258	2077	1933
259	2084	1924
260	2092	1916
